tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780861692,893714287,328,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16115000,108000,9000,9000,9000
1780861692,893832505,329,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16115000,108000,9000,9000,9000
1780861692,993497785,330,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16115000,108000,9000,9000,9000
1780861692,993548909,331,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16115000,108000,9000,9000,9000
1780861693,93827720,332,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16097000,90000,9000,9000,9000
1780861693,94986148,333,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16097000,90000,9000,9000,9000
1780861693,193179372,334,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,16105000,107000,17000,9000,9000
1780861693,193315652,335,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,16105000,107000,17000,9000,9000
1780861693,293252923,336,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,293304349,337,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,393552999,338,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,393616420,339,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258477000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,498576634,340,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258487000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,498609372,341,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258487000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,593395991,342,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258487000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,593467769,343,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258487000,35000,17000,26000,1418000,6123800000000,6123801000000,6123802000000,6123805000000,6123852000000,815000,107000,17000,9000,9000
1780861693,693366722,344,1747767916,5,N,6123999000000,6123998000000,6123997000000,6123989000000,6123964000000,328681000,71000,35000,4073000,9000,6124000000000,6124001000000,6124041000000,6124115000000,6124118000000,181000,135000,26000,9000,9000
1780861693,693698235,345,1747767916,D,N,6123999000000,6123998000000,6123997000000,6123989000000,6123964000000,328681000,71000,35000,4073000,9000,6124000000000,6124001000000,6124041000000,6124115000000,6124118000000,181000,135000,26000,9000,9000
1780861693,794804447,346,1747767916,5,N,6123999000000,6123998000000,6123997000000,6123989000000,6123964000000,461653000,53000,17000,18000,409000,6124000000000,6124001000000,6124041000000,6124115000000,6124118000000,155000,117000,17000,9000,9000
1780861693,794856054,347,1747767916,D,N,6123999000000,6123998000000,6123997000000,6123989000000,6123964000000,461653000,53000,17000,18000,409000,6124000000000,6124001000000,6124041000000,6124115000000,6124118000000,155000,117000,17000,9000,9000
1780861693,894510458,348,1747767916,5,N,6124200000000,6124199000000,6124198000000,6124194000000,6124193000000,719095000,35000,17000,323000,1342000,6124201000000,6124202000000,6124243000000,6124244000000,6124272000000,79000,63000,9000,18000,9000
1780861693,894605263,349,1747767916,D,N,6124200000000,6124199000000,6124198000000,6124194000000,6124193000000,719095000,35000,17000,323000,1342000,6124201000000,6124202000000,6124243000000,6124244000000,6124272000000,79000,63000,9000,18000,9000
1780861693,993393207,350,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,886154000,17000,17000,323000,36000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,99000,63000,477000,18000,1218000
1780861693,993447286,351,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,886154000,17000,17000,323000,36000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,99000,63000,477000,18000,1218000
1780861694,93654933,352,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,552605000,17000,17000,323000,27000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15407000,63000,477000,18000,1218000
1780861694,93695331,353,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,552605000,17000,17000,323000,27000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15407000,63000,477000,18000,1218000
1780861694,193824582,354,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,385771000,17000,17000,323000,27000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15999000,72000,477000,18000,1218000
1780861694,193869304,355,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,385771000,17000,17000,323000,27000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15999000,72000,477000,18000,1218000
1780861694,294207114,356,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,336747000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15488000,72000,477000,18000,1218000
1780861694,294247760,357,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,336747000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15488000,72000,477000,18000,1218000
1780861694,393377403,358,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,336747000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,16258000,72000,477000,18000,1218000
1780861694,393441706,359,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,336747000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,16258000,72000,477000,18000,1218000
1780861694,492887826,360,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,363798000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15479000,63000,477000,18000,1218000
1780861694,492989336,361,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,363798000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,15479000,63000,477000,18000,1218000
1780861694,595324991,362,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,383489000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,171000,63000,477000,18000,1218000
1780861694,595406910,363,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,383489000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,171000,63000,477000,18000,1218000
1780861694,693287705,364,1747767916,5,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,383507000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,153000,63000,477000,18000,1218000
1780861694,693317056,365,1747767916,D,N,6124579000000,6124578000000,6124577000000,6124537000000,6124536000000,383507000,17000,17000,323000,88000,6124580000000,6124581000000,6124592000000,6124599000000,6124600000000,153000,63000,477000,18000,1218000
